date,close,volume
2006-12-01,1729.220,58413600.000
2006-12-04,1780.740,71434300.000
2006-12-05,1794.230,67202600.000
2006-12-06,1779.410,81276700.000
2006-12-07,1775.710,80487500.000
2006-12-08,1711.580,66257700.000
2006-12-11,1789.920,51336000.000
2006-12-12,1802.790,57833500.000
2006-12-13,1803.860,48004500.000
2006-12-14,1836.140,47206200.000
2006-12-15,1867.640,49414400.000
2006-12-18,1916.110,61893000.000
2006-12-19,1921.440,67788900.000
2006-12-20,1936.550,56348500.000
2006-12-21,1908.980,60225200.000
2006-12-22,1895.640,46230500.000
2006-12-25,1939.100,56251700.000
2006-12-26,1938.240,56967400.000
2006-12-27,1982.880,56005600.000
2006-12-28,1979.930,63192800.000
2006-12-29,2041.050,73851900.000
2007-01-04,2067.090,106720000.000
2007-01-05,2072.880,92743400.000
2007-01-08,2131.560,84767900.000
2007-01-09,2200.090,81577600.000
2007-01-10,2255.970,84905000.000
2007-01-11,2231.630,86276500.000
2007-01-12,2173.750,76525700.000
2007-01-15,2287.340,66403100.000
2007-01-16,2353.870,76364300.000
2007-01-17,2308.930,89015500.000
2007-01-18,2317.090,78648600.000
2007-01-19,2396.090,83334000.000
2007-01-22,2491.310,93893000.000
2007-01-23,2508.130,102338000.000
2007-01-24,2536.430,84433700.000
2007-01-25,2452.830,81055200.000
2007-01-26,2512.920,78654000.000
2007-01-29,2576.920,85452100.000
2007-01-30,2551.880,78211500.000
2007-01-31,2385.330,80909100.000
2007-02-01,2395.170,65078100.000
2007-02-02,2298.000,59377200.000
2007-02-05,2271.800,47587500.000
2007-02-06,2316.040,67010600.000
2007-02-07,2369.790,70106400.000
2007-02-08,2410.600,62656500.000
2007-02-09,2397.250,55515500.000
2007-02-12,2485.390,54992300.000
2007-02-13,2522.630,51528900.000
2007-02-14,2588.350,62777300.000
2007-02-15,2668.630,71631300.000
2007-02-16,2676.740,75908800.000
2007-02-26,2707.680,74531600.000
2007-02-27,2457.490,107737000.000
2007-02-28,2544.570,82822600.000
2007-03-01,2473.540,82159700.000
2007-03-02,2508.730,57946800.000
2007-03-05,2475.610,68517500.000
2007-03-06,2520.290,52633200.000
2007-03-07,2589.440,59721000.000
2007-03-08,2627.630,55386600.000
2007-03-09,2611.390,70411300.000
2007-03-12,2616.170,62468900.000
2007-03-13,2640.170,65788900.000
2007-03-14,2597.360,68952100.000
2007-03-15,2645.550,63778500.000
2007-03-16,2604.230,75331800.000
2007-03-19,2659.410,73983600.000
2007-03-20,2672.770,61249700.000
2007-03-21,2702.600,64613000.000
2007-03-22,2711.320,83308100.000
2007-03-23,2716.270,73911900.000
2007-03-26,2764.030,76074800.000
2007-03-27,2784.020,80725100.000
2007-03-28,2797.650,112210000.000
2007-03-29,2783.300,106567000.000
2007-03-30,2781.780,62950700.000
2007-04-02,2850.110,69247900.000
2007-04-03,2888.110,77014500.000
2007-04-04,2911.820,75506700.000
2007-04-05,2945.040,74139000.000
2007-04-06,2972.010,79102300.000
2007-04-09,3038.170,90901700.000
2007-04-10,3081.570,100888000.000
2007-04-11,3121.320,101670000.000
2007-04-12,3176.440,92535200.000
2007-04-13,3169.230,100653000.000
2007-04-16,3256.000,87928900.000
2007-04-17,3283.600,105307000.000
2007-04-18,3304.500,101427000.000
2007-04-19,3150.300,115270000.000
2007-04-20,3289.280,94469900.000
2007-04-23,3431.320,109959000.000
2007-04-24,3445.200,114643000.000
2007-04-25,3448.280,100581000.000
2007-04-26,3493.580,78997700.000
2007-04-27,3470.520,80698600.000
2007-04-30,3558.710,94302900.000
2007-05-08,3686.030,106789000.000
2007-05-09,3701.280,140648000.000
2007-05-10,3724.510,115420000.000
2007-05-11,3702.610,88961800.000
2007-05-14,3734.420,91098000.000
2007-05-15,3604.640,93578600.000
2007-05-16,3700.290,86229300.000
2007-05-17,3778.600,90256500.000
2007-05-18,3776.630,82418900.000
2007-05-21,3831.440,98478700.000
2007-05-22,3870.490,109618000.000
2007-05-23,3938.950,98523200.000
2007-05-24,3919.750,113814000.000
2007-05-25,3985.250,95416600.000
2007-05-28,4072.580,114042000.000
2007-05-29,4168.290,113267000.000
2007-05-30,3886.460,132739000.000
2007-05-31,3927.950,126078000.000
2007-06-01,3803.950,119938000.000
2007-06-04,3511.430,90531000.000
2007-06-05,3634.630,113768000.000
2007-06-06,3677.580,95951500.000
2007-06-07,3802.300,94190600.000
2007-06-08,3837.870,89074700.000
2007-06-11,3931.860,90982300.000
2007-06-12,4036.110,99389800.000
2007-06-13,4118.270,109453000.000
2007-06-14,4075.820,86609200.000
2007-06-15,4099.380,68779600.000
2007-06-18,4227.570,87872900.000
2007-06-19,4253.000,81540500.000
2007-06-20,4157.600,86863000.000
2007-06-21,4197.280,73739500.000
2007-06-22,4051.430,79552400.000
2007-06-25,3877.590,70031000.000
2007-06-26,3928.210,58885100.000
2007-06-27,4040.480,65290500.000
2007-06-28,3858.520,66858000.000
2007-06-29,3764.080,58920900.000
2007-07-02,3757.660,49747300.000
2007-07-03,3832.230,46409100.000
2007-07-04,3743.580,38233700.000
2007-07-05,3537.440,43225500.000
2007-07-06,3710.280,51366500.000
2007-07-09,3821.300,54073100.000
2007-07-10,3775.620,51907900.000
2007-07-11,3789.870,33628900.000
2007-07-12,3816.920,31368100.000
2007-07-13,3820.120,26893200.000
2007-07-16,3697.970,29931900.000
2007-07-17,3789.650,32553800.000
2007-07-18,3807.570,45975800.000
2007-07-19,3807.000,30258500.000
2007-07-20,3971.880,55271100.000
2007-07-23,4156.720,85276200.000
2007-07-24,4161.350,76090700.000
2007-07-25,4255.460,64597800.000
2007-07-26,4303.190,65490200.000
2007-07-27,4307.140,65021100.000
2007-07-30,4410.300,75441600.000
2007-07-31,4460.560,71375000.000
2007-08-01,4290.480,79361700.000
2007-08-02,4436.190,62887500.000
2007-08-03,4598.380,78190500.000
2007-08-06,4703.980,76164300.000
2007-08-07,4724.550,83847100.000
2007-08-08,4668.090,88988000.000
2007-08-09,4777.290,72025800.000
2007-08-10,4726.680,74962900.000
2007-08-13,4721.190,85763200.000
2007-08-14,4795.570,61157900.000
2007-08-15,4798.750,63466400.000
2007-08-16,4721.940,63594800.000
2007-08-17,4626.580,63652100.000
2007-08-20,4885.430,67812200.000
2007-08-21,4972.710,74440600.000
2007-08-22,5051.690,74028900.000
2007-08-23,5135.930,68051900.000
2007-08-24,5217.580,73769900.000
2007-08-27,5243.150,82631500.000
2007-08-28,5251.770,75066800.000
2007-08-29,5171.820,72929500.000
2007-08-30,5241.230,67298500.000
2007-08-31,5296.810,66780400.000
2007-09-03,5419.170,82849200.000
2007-09-04,5360.330,79914800.000
2007-09-05,5363.250,65364900.000
2007-09-06,5412.040,70608600.000
2007-09-07,5294.790,79298900.000
2007-09-10,5377.220,65095700.000
2007-09-11,5124.090,68806700.000
2007-09-12,5202.860,61572300.000
2007-09-13,5349.970,59746900.000
2007-09-14,5397.280,60295600.000
2007-09-17,5498.910,69403100.000
2007-09-18,5476.840,71621800.000
2007-09-19,5419.270,55880100.000
2007-09-20,5494.920,56712100.000
2007-09-21,5468.100,61106400.000
2007-09-24,5513.900,54184800.000
2007-09-25,5454.620,45326200.000
2007-09-26,5361.020,39171200.000
2007-09-27,5427.660,33759100.000
2007-09-28,5580.810,48514600.000
2007-10-08,5653.140,66449700.000
2007-10-09,5675.930,53633500.000
2007-10-10,5685.760,63994500.000
2007-10-11,5760.080,65141100.000
2007-10-12,5737.220,78001100.000
2007-10-15,5821.450,70682100.000
2007-10-16,5877.200,64692000.000
2007-10-17,5824.120,48869800.000
2007-10-18,5615.750,48595600.000
2007-10-19,5614.060,38466500.000
2007-10-22,5472.680,35867500.000
2007-10-23,5540.090,41896800.000
2007-10-24,5588.010,44661200.000
2007-10-25,5333.790,50821700.000
2007-10-26,5394.810,35896000.000
2007-10-29,5508.360,35234000.000
2007-10-30,5596.070,39193900.000
2007-10-31,5688.540,50329500.000
2007-11-01,5605.230,46612500.000
2007-11-02,5472.930,43289500.000
2007-11-05,5360.310,33695000.000
2007-11-06,5317.550,27057900.000
2007-11-07,5350.630,30061300.000
2007-11-08,5093.670,36054900.000
2007-11-09,5040.520,34583800.000
2007-11-12,4978.250,38413900.000
2007-11-13,4939.240,36862100.000
2007-11-14,5145.890,35231500.000
2007-11-15,5081.110,31759500.000
2007-11-16,5007.660,23311000.000
2007-11-19,4994.420,25548100.000
2007-11-20,5069.380,33562700.000
2007-11-21,4997.620,26803100.000
2007-11-22,4772.620,26507700.000
2007-11-23,4856.160,20146300.000
2007-11-26,4800.080,23622300.000
2007-11-27,4711.150,20886800.000
2007-11-28,4648.750,22482400.000
2007-11-29,4842.070,36873000.000
